# Data scraped on: 2025-05-22 19:48:28
Date,Opponent,Opp Rank,H/A/N,Score
03/27,Minnesota,12,Home,W 5-3
03/29,Minnesota,12,Home,W 5-1
03/30,Minnesota,12,Home,W 9-2
03/31,LA Angels,26,Home,L 4-5
04/01,LA Angels,26,Home,L 7-9
04/02,LA Angels,26,Home,W 12-5
04/04,at Boston,9,Away,L 9-13
04/06,at Boston,9,Away,L 4-5
04/06,at Boston,9,Away,L 7-18
04/07,at Pittsburgh,24,Away,L 4-8
04/08,at Pittsburgh,24,Away,W 5-3
04/09,at Pittsburgh,24,Away,L 1-2
04/11,Philadelphia,6,Home,W 2-0
04/12,Philadelphia,6,Home,L 1-4
04/13,Philadelphia,6,Home,W 7-0
04/14,Houston,11,Home,W 8-3
04/15,Houston,11,Home,L 0-2
04/16,Houston,11,Home,W 4-1
04/17,at NY Mets,3,Away,L 1-4
04/18,at NY Mets,3,Away,L 4-5
04/19,at NY Mets,3,Away,L 0-3
04/20,at NY Mets,3,Away,L 4-7
04/21,at Atlanta,4,Away,L 6-7
04/22,at Atlanta,4,Away,W 10-4
04/23,at Atlanta,4,Away,L 1-4
04/25,Milwaukee,18,Home,W 3-2
04/26,Milwaukee,18,Home,W 6-5
04/27,Milwaukee,18,Home,L 1-7
04/28,at Cincinnati,16,Away,L 1-3
04/30,at Cincinnati,16,Away,W 6-0
04/30,at Cincinnati,16,Away,W 9-1
05/01,at Cincinnati,16,Away,L 1-9
05/02,NY Mets,3,Home,L 3-9
05/04,NY Mets,3,Home,W 6-5
05/04,NY Mets,3,Home,W 5-4
05/05,Pittsburgh,24,Home,W 6-3
05/06,Pittsburgh,24,Home,W 2-1
05/07,Pittsburgh,24,Home,W 5-0
05/09,at Washington,25,Away,W 10-0
05/10,at Washington,25,Away,W 4-2
05/11,at Washington,25,Away,W 6-1
05/12,at Philadelphia,6,Away,W 3-2
05/14,at Philadelphia,6,Away,L 1-2
05/14,at Philadelphia,6,Away,W 14-7
05/16,at Kansas City,20,Away,W 10-3
05/17,at Kansas City,20,Away,W 1-0
05/18,at Kansas City,20,Away,L 1-2
05/19,Detroit,7,Home,W 11-4
05/20,Detroit,7,Home,L 4-5
05/21,Detroit,7,Home,L 1-5
