# Data scraped on: 2025-05-22 19:48:08
Trend,Over Record,Over %,Under %,Total +/-
4+ Days Off,1-0-0,100.0%,0.0%,+0.5
Second Game of Doubleheader,4-0-0,100.0%,0.0%,+7.6
As Home Favorite,6-3-1,66.7%,33.3%,+2.1
Non-League Games,11-6-1,64.7%,35.3%,+2.2
After A Loss,13-8-1,61.9%,38.1%,+2.2
As Favorite,8-5-1,61.5%,38.5%,+1.3
As Home Team,13-10-1,56.5%,43.5%,+0.6
Non-Division Games,20-16-1,55.6%,44.4%,+1.1
With Equal Rest,25-20-2,55.6%,44.4%,+0.5
All Games,26-22-2,54.2%,45.8%,+0.6
Regular Season Games,26-22-2,54.2%,45.8%,+0.6
As Away Underdog,11-10-1,52.4%,47.6%,+0.8
As Away Team,13-12-1,52.0%,48.0%,+0.6
As Underdog,18-17-1,51.4%,48.6%,+0.3
As Home Underdog,7-7-0,50.0%,50.0%,-0.5
As Away Favorite,2-2-0,50.0%,50.0%,-0.8
No Rest,17-17-1,50.0%,50.0%,-0.1
Division Games,6-6-1,50.0%,50.0%,-0.8
League Games,15-16-1,48.4%,51.6%,-0.3
After A Win,12-14-1,46.2%,53.8%,-0.7
1 Day Off,4-5-1,44.4%,55.6%,+0.3
With Rest Advantage,1-2-0,33.3%,66.7%,+1.3
