# Data scraped on: 2025-05-22 19:48:57
Date,Opponent,Opp Rank,H/A/N,Score
03/28,Colorado,30,Home,W 3-2
03/29,Colorado,30,Home,L 1-2
03/30,Colorado,30,Home,W 6-4
03/31,Pittsburgh,24,Home,W 6-1
04/01,Pittsburgh,24,Home,W 7-0
04/02,Pittsburgh,24,Home,L 2-4
04/04,at Texas,14,Away,L 2-5
04/05,at Texas,14,Away,L 4-6
04/06,at Texas,14,Away,L 3-4
04/08,LA Angels,26,Neutral,L 3-4
04/09,LA Angels,26,Neutral,W 5-4
04/10,LA Angels,26,Neutral,L 1-11
04/11,Atlanta,4,Home,W 6-3
04/12,Atlanta,4,Home,L 4-5
04/13,Atlanta,4,Home,W 8-3
04/14,Boston,9,Home,W 16-1
04/15,Boston,9,Home,L 4-7
04/16,Boston,9,Home,L 0-1
04/17,NY Yankees,2,Home,L 3-6
04/18,NY Yankees,2,Home,L 0-1
04/19,NY Yankees,2,Home,W 10-8
04/20,NY Yankees,2,Home,L 0-4
04/22,at Arizona,8,Away,L 1-5
04/23,at Arizona,8,Away,W 7-6
04/24,at Arizona,8,Away,W 7-4
04/25,at San Diego,10,Away,W 1-0
04/26,at San Diego,10,Away,W 4-1
04/27,at San Diego,10,Away,W 4-2
04/29,Kansas City,20,Home,L 1-3
04/30,Kansas City,20,Home,L 0-3
05/01,Kansas City,20,Home,L 2-8
05/02,at NY Yankees,2,Away,L 0-3
05/03,at NY Yankees,2,Away,W 3-2
05/04,at NY Yankees,2,Away,W 7-5
05/06,Philadelphia,6,Home,L 4-8
05/07,Philadelphia,6,Home,L 0-7
05/08,Philadelphia,6,Home,L 6-7
05/09,Milwaukee,18,Home,W 4-3
05/10,Milwaukee,18,Home,W 3-2
05/11,Milwaukee,18,Home,L 2-4
05/13,at Toronto,21,Away,W 11-9
05/14,at Toronto,21,Away,L 1-3
05/15,at Toronto,21,Away,W 8-3
05/16,at Miami,28,Away,L 4-9
05/17,at Miami,28,Away,W 4-0
05/18,at Miami,28,Away,L 1-5
05/19,Houston,11,Home,L 3-4
05/20,Houston,11,Home,W 3-2
05/21,Houston,11,Home,W 8-4
