# Data scraped on: 2025-05-22 19:48:52
Date,H/A/N,Opponent,Opp Rank,TB Line,TB Odds,Result,Diff
03/28,Home,Colorado,30,-1.5,-105,W by 1,-0.5
03/29,Home,Colorado,30,-1.5,+110,L by 1,-2.5
03/30,Home,Colorado,30,-1.5,+121,W by 2,+0.5
03/31,Home,Pittsburgh,24,-1.5,+114,W by 5,+3.5
04/01,Home,Pittsburgh,24,-1.5,+124,W by 7,+5.5
04/02,Home,Pittsburgh,24,+1.5,-178,L by 2,-0.5
04/04,Away,Texas,14,+1.5,-185,L by 3,-1.5
04/05,Away,Texas,14,+1.5,-142,L by 2,-0.5
04/06,Away,Texas,14,-1.5,+156,L by 1,-2.5
04/08,Home,LA Angels,26,-1.5,+120,L by 1,-2.5
04/09,Home,LA Angels,26,-1.5,+146,W by 1,-0.5
04/10,Home,LA Angels,26,-1.5,+175,L by 10,-11.5
04/11,Home,Atlanta,4,-1.5,+142,W by 3,+1.5
04/12,Home,Atlanta,4,-1.5,+150,L by 1,-2.5
04/13,Home,Atlanta,4,+1.5,-118,W by 5,+6.5
04/14,Home,Boston,9,-1.5,+169,W by 15,+13.5
04/15,Home,Boston,9,-1.5,+160,L by 3,-4.5
04/16,Home,Boston,9,-1.5,+150,L by 1,-2.5
04/17,Home,NY Yankees,2,+1.5,-180,L by 3,-1.5
04/18,Home,NY Yankees,2,+1.5,-162,L by 1,+0.5
04/19,Home,NY Yankees,2,-1.5,+154,W by 2,+0.5
04/20,Home,NY Yankees,2,+1.5,-113,L by 4,-2.5
04/22,Away,Arizona,8,+1.5,-125,L by 4,-2.5
04/23,Away,Arizona,8,+1.5,-148,W by 1,+2.5
04/24,Away,Arizona,8,+1.5,-175,W by 3,+4.5
04/25,Away,San Diego,10,+1.5,-185,W by 1,+2.5
04/26,Away,San Diego,10,+1.5,-192,W by 3,+4.5
04/27,Away,San Diego,10,-1.5,+150,W by 2,+0.5
04/29,Home,Kansas City,20,-1.5,+135,L by 2,-3.5
04/30,Home,Kansas City,20,-1.5,+133,L by 3,-4.5
05/01,Home,Kansas City,20,-1.5,+135,L by 6,-7.5
05/02,Away,NY Yankees,2,+1.5,-105,L by 3,-1.5
05/03,Away,NY Yankees,2,+1.5,-104,W by 1,+2.5
05/04,Away,NY Yankees,2,+1.5,-148,W by 2,+3.5
05/06,Home,Philadelphia,6,+1.5,-162,L by 4,-2.5
05/07,Home,Philadelphia,6,+1.5,-113,L by 7,-5.5
05/08,Home,Philadelphia,6,+1.5,-125,L by 1,+0.5
05/09,Home,Milwaukee,18,+1.5,-159,W by 1,+2.5
05/10,Home,Milwaukee,18,-1.5,+169,W by 1,-0.5
05/11,Home,Milwaukee,18,-1.5,+151,L by 2,-3.5
05/13,Away,Toronto,21,+1.5,-177,W by 2,+3.5
05/14,Away,Toronto,21,+1.5,-158,L by 2,-0.5
05/15,Away,Toronto,21,+1.5,-143,W by 5,+6.5
05/16,Away,Miami,28,-1.5,+136,L by 5,-6.5
05/17,Away,Miami,28,-1.5,+115,W by 4,+2.5
05/18,Away,Miami,28,-1.5,+107,L by 4,-5.5
05/19,Home,Houston,11,-1.5,+146,L by 1,-2.5
05/20,Home,Houston,11,-1.5,+161,W by 1,-0.5
05/21,Home,Houston,11,+1.5,-119,W by 4,+5.5
