# Data scraped on: 2025-05-22 19:49:03
Trend,Run Line Record,Cover %,MOV,Run Line +/-
As Away Underdog,8-5-0,61.5%,0.3,+1.8
As Underdog,13-10-0,56.5%,-0.3,+1.2
As Away Team,10-8-0,55.6%,0.0,+0.7
Non-League Games,13-11-0,54.2%,0.3,+0.2
Division Games,7-6-0,53.8%,0.8,+1.3
As Home Underdog,5-5-0,50.0%,-1.2,+0.3
With Rest Disadvantage,2-2-0,50.0%,-1.5,-0.8
No Rest,20-22-0,47.6%,0.1,0.0
After A Loss,12-14-0,46.2%,-0.3,-0.2
All Games,21-28-0,42.9%,-0.1,-0.2
Regular Season Games,21-28-0,42.9%,-0.1,-0.2
With Equal Rest,19-26-0,42.2%,0.0,-0.1
After A Win,9-13-0,40.9%,0.1,-0.1
As Away Favorite,2-3-0,40.0%,-0.8,-2.3
Non-Division Games,14-22-0,38.9%,-0.4,-0.8
As Home Team,11-20-0,35.5%,-0.2,-0.7
League Games,8-17-0,32.0%,-0.5,-0.6
As Favorite,8-18-0,30.8%,0.1,-1.4
As Home Favorite,6-15-0,28.6%,0.3,-1.2
1 Day Off,1-5-0,16.7%,-2.0,-1.5
4+ Days Off,0-1-0,0.0%,1.0,-0.5
