# Data scraped on: 2025-05-22 19:48:41
Trend,Win-Loss Record,Win %,MOV,Run Line +/-
4+ Days Off,1-0-0,100.0%,1.0,-0.5
As Away Underdog,8-5-0,61.5%,0.3,+1.8
Non-League Games,14-10-0,58.3%,0.3,+0.2
As Away Team,10-8-0,55.6%,0.0,+0.7
No Rest,21-21-0,50.0%,0.1,0.0
With Rest Disadvantage,2-2-0,50.0%,-1.5,-0.8
As Underdog,11-12-0,47.8%,-0.3,+1.2
As Home Favorite,10-11-0,47.6%,0.3,-1.2
Non-Division Games,17-19-0,47.2%,-0.4,-0.8
All Games,23-26-0,46.9%,-0.1,-0.2
Regular Season Games,23-26-0,46.9%,-0.1,-0.2
With Equal Rest,21-24-0,46.7%,0.0,-0.1
After A Loss,12-14-0,46.2%,-0.3,-0.2
As Favorite,12-14-0,46.2%,0.1,-1.4
Division Games,6-7-0,46.2%,0.8,+1.3
After A Win,10-12-0,45.5%,0.1,-0.1
As Home Team,13-18-0,41.9%,-0.2,-0.7
As Away Favorite,2-3-0,40.0%,-0.8,-2.3
League Games,9-16-0,36.0%,-0.5,-0.6
As Home Underdog,3-7-0,30.0%,-1.2,+0.3
1 Day Off,1-5-0,16.7%,-2.0,-1.5
