# Data scraped on: 2025-05-22 19:49:08
Trend,Over Record,Over %,Under %,Total +/-
With Rest Disadvantage,1-1-0,50.0%,50.0%,+0.5
As Away Favorite,3-4-0,42.9%,57.1%,+0.4
As Away Team,9-14-1,39.1%,60.9%,-0.7
As Away Underdog,6-10-1,37.5%,62.5%,-1.2
Division Games,7-13-0,35.0%,65.0%,-1.1
As Favorite,8-16-0,33.3%,66.7%,-0.8
1 Day Off,2-4-0,33.3%,66.7%,-0.9
Non-League Games,5-10-0,33.3%,66.7%,-1.9
After A Loss,8-17-0,32.0%,68.0%,-1.2
No Rest,13-30-1,30.2%,69.8%,-1.5
All Games,15-35-1,30.0%,70.0%,-1.4
Regular Season Games,15-35-1,30.0%,70.0%,-1.4
As Home Favorite,5-12-0,29.4%,70.6%,-1.3
After A Win,7-17-1,29.2%,70.8%,-1.6
With Equal Rest,14-34-1,29.2%,70.8%,-1.5
League Games,10-25-1,28.6%,71.4%,-1.2
As Underdog,7-19-1,26.9%,73.1%,-1.9
Non-Division Games,8-22-1,26.7%,73.3%,-1.6
As Home Team,6-21-0,22.2%,77.8%,-2.0
As Home Underdog,1-9-0,10.0%,90.0%,-3.2
4+ Days Off,0-1-0,0.0%,100.0%,-1.0
