# Data scraped on: 2025-05-22 19:49:23
Date,H/A/N,Opponent,Opp Rank,TEX Line,TEX Odds,Result,Diff
03/27,Home,Boston,9,+1.5,-162,L by 3,-1.5
03/28,Home,Boston,9,+1.5,-166,W by 3,+4.5
03/29,Home,Boston,9,-1.5,+175,W by 1,-0.5
03/30,Home,Boston,9,-1.5,+140,W by 1,-0.5
03/31,Away,Cincinnati,16,-1.5,+127,L by 11,-12.5
04/01,Away,Cincinnati,16,-1.5,+110,W by 1,-0.5
04/02,Away,Cincinnati,16,+1.5,-185,W by 1,+2.5
04/04,Home,Tampa Bay,17,-1.5,+154,W by 3,+1.5
04/05,Home,Tampa Bay,17,-1.5,+120,W by 2,+0.5
04/06,Home,Tampa Bay,17,+1.5,-174,W by 1,+2.5
04/07,Away,Chi Cubs,5,+1.5,-215,L by 7,-5.5
04/08,Away,Chi Cubs,5,+1.5,-157,L by 4,-2.5
04/09,Away,Chi Cubs,5,+1.5,-138,W by 4,+5.5
04/11,Away,Seattle,13,-1.5,+145,L by 2,-3.5
04/12,Away,Seattle,13,+1.5,-185,L by 7,-5.5
04/13,Away,Seattle,13,+1.5,-184,L by 2,-0.5
04/15,Home,LA Angels,26,-1.5,+159,W by 4,+2.5
04/16,Home,LA Angels,26,+1.5,-143,W by 2,+3.5
04/17,Home,LA Angels,26,-1.5,+138,W by 2,+0.5
04/18,Home,LA Dodgers,1,+1.5,-155,L by 3,-1.5
04/19,Home,LA Dodgers,1,-1.5,+175,W by 1,-0.5
04/20,Home,LA Dodgers,1,+1.5,-118,L by 1,+0.5
04/22,Away,Sacramento,27,+1.5,-182,W by 3,+4.5
04/23,Away,Sacramento,27,-1.5,+154,L by 3,-4.5
04/24,Away,Sacramento,27,-1.5,+117,L by 1,-2.5
04/25,Away,SF Giants,15,+1.5,-205,W by 2,+3.5
04/26,Away,SF Giants,15,+1.5,-185,L by 1,+0.5
04/27,Away,SF Giants,15,+1.5,-178,L by 1,+0.5
04/28,Home,Sacramento,27,+1.5,-173,L by 1,+0.5
04/29,Home,Sacramento,27,-1.5,+102,W by 13,+11.5
04/30,Home,Sacramento,27,-1.5,+136,L by 6,-7.5
05/01,Home,Sacramento,27,-1.5,+153,L by 3,-4.5
05/02,Home,Seattle,13,+1.5,-149,L by 12,-10.5
05/03,Home,Seattle,13,+1.5,-149,L by 1,+0.5
05/04,Home,Seattle,13,-1.5,+122,W by 7,+5.5
05/06,Away,Boston,9,-1.5,+136,W by 5,+3.5
05/07,Away,Boston,9,+1.5,-175,L by 2,-0.5
05/08,Away,Boston,9,+1.5,-155,L by 5,-3.5
05/09,Away,Detroit,7,+1.5,+122,L by 1,+0.5
05/10,Away,Detroit,7,-1.5,+142,W by 7,+5.5
05/11,Away,Detroit,7,+1.5,-218,W by 5,+6.5
05/12,Home,Colorado,30,-1.5,-125,W by 1,-0.5
05/13,Home,Colorado,30,-1.5,-112,W by 3,+1.5
05/14,Home,Colorado,30,-1.5,-112,W by 5,+3.5
05/15,Home,Houston,11,-1.5,+170,W by 1,-0.5
05/16,Home,Houston,11,-1.5,+103,L by 3,-4.5
05/17,Home,Houston,11,-1.5,+180,W by 4,+2.5
05/18,Home,Houston,11,+1.5,-166,L by 1,+0.5
05/20,Away,NY Yankees,2,+1.5,-110,L by 3,-1.5
05/21,Away,NY Yankees,2,+1.5,-218,L by 1,+0.5
05/22,Away,NY Yankees,2,+1.5,-163,L by 1,+0.5
