# Data scraped on: 2025-05-22 19:49:32
Trend,Run Line Record,Cover %,MOV,Run Line +/-
As Home Underdog,7-3-0,70.0%,-1.6,-0.1
1 Day Off,4-2-0,66.7%,1.7,+1.2
As Underdog,17-10-0,63.0%,-1.3,+0.2
After A Loss,15-10-0,60.0%,0.2,+0.7
As Home Team,16-11-0,59.3%,0.7,+0.4
As Away Underdog,10-7-0,58.8%,-1.2,+0.3
Non-Division Games,18-13-0,58.1%,0.1,+0.4
With Equal Rest,28-21-0,57.1%,0.2,+0.3
League Games,20-16-0,55.6%,0.2,+0.2
All Games,28-23-0,54.9%,-0.1,0.0
Regular Season Games,28-23-0,54.9%,-0.1,0.0
No Rest,24-20-0,54.5%,-0.3,-0.1
Non-League Games,8-7-0,53.3%,-0.7,-0.4
As Home Favorite,9-8-0,52.9%,2.1,+0.6
After A Win,13-12-0,52.0%,-0.3,-0.6
As Away Team,12-12-0,50.0%,-1.0,-0.4
Division Games,10-10-0,50.0%,-0.3,-0.6
As Favorite,11-13-0,45.8%,1.3,-0.2
As Away Favorite,2-5-0,28.6%,-0.6,-2.1
4+ Days Off,0-1-0,0.0%,-3.0,-1.5
With Rest Disadvantage,0-2-0,0.0%,-7.5,-6.0
