# Data scraped on: 2025-05-22 19:49:47
Date,H/A/N,Opponent,Opp Rank,Total,Score,Result,Diff
03/27,Home,Baltimore,22,8.5,2-12,Over,+5.5
03/28,Home,Baltimore,22,8.5,8-2,Over,+1.5
03/29,Home,Baltimore,22,8.5,5-9,Over,+5.5
03/30,Home,Baltimore,22,9.0,3-1,Under,-5.0
03/31,Home,Washington,25,8.5,5-2,Under,-1.5
04/01,Home,Washington,25,8.5,5-3,Under,-0.5
04/02,Home,Washington,25,8.5,4-2,Under,-2.5
04/04,Away,NY Mets,3,7.5,0-5,Under,-2.5
04/05,Away,NY Mets,3,7.5,2-3,Under,-2.5
04/06,Away,NY Mets,3,7.0,1-2,Under,-4.0
04/07,Away,Boston,9,8.0,6-2,Push,0.0
04/08,Away,Boston,9,8.0,6-1,Under,-1.0
04/09,Away,Boston,9,8.5,2-1,Under,-5.5
04/10,Away,Boston,9,8.0,3-4,Under,-1.0
04/12,Away,Baltimore,22,8.0,4-5,Over,+1.0
04/13,Away,Baltimore,22,8.5,7-6,Over,+4.5
04/14,Home,Atlanta,4,8.5,4-8,Over,+3.5
04/15,Home,Atlanta,4,7.5,6-3,Over,+1.5
04/16,Home,Atlanta,4,7.0,3-1,Under,-3.0
04/18,Home,Seattle,13,8.0,3-1,Under,-4.0
04/19,Home,Seattle,13,7.5,4-8,Over,+4.5
04/20,Home,Seattle,13,8.5,3-8,Over,+2.5
04/21,Away,Houston,11,7.5,0-7,Under,-0.5
04/22,Away,Houston,11,8.0,1-5,Under,-2.0
04/23,Away,Houston,11,8.0,1-3,Under,-4.0
04/25,Away,NY Yankees,2,9.0,4-2,Under,-3.0
04/27,Away,NY Yankees,2,8.0,2-11,Over,+5.0
04/27,Away,NY Yankees,2,8.5,1-5,Under,-2.5
04/29,Home,Boston,9,7.5,2-10,Over,+4.5
04/30,Home,Boston,9,9.5,7-6,Over,+3.5
05/01,Home,Boston,9,8.5,4-2,Under,-2.5
05/02,Home,Cleveland,23,8.5,5-3,Under,-0.5
05/03,Home,Cleveland,23,7.5,3-5,Over,+0.5
05/04,Home,Cleveland,23,8.5,4-5,Over,+0.5
05/06,Away,LA Angels,26,9.0,3-8,Over,+2.0
05/07,Away,LA Angels,26,8.5,4-5,Over,+0.5
05/08,Away,LA Angels,26,8.0,8-5,Over,+5.0
05/09,Away,Seattle,13,7.0,6-3,Over,+2.0
05/10,Away,Seattle,13,8.0,6-3,Over,+1.0
05/11,Away,Seattle,13,8.0,9-1,Over,+2.0
05/13,Home,Tampa Bay,17,8.0,9-11,Over,+12.0
05/14,Home,Tampa Bay,17,8.0,3-1,Under,-4.0
05/15,Home,Tampa Bay,17,8.0,3-8,Over,+3.0
05/16,Home,Detroit,7,8.5,4-5,Over,+0.5
05/17,Home,Detroit,7,8.5,2-1,Under,-5.5
05/18,Home,Detroit,7,9.0,2-3,Under,-4.0
05/20,Home,San Diego,10,7.5,3-0,Under,-4.5
05/21,Home,San Diego,10,9.0,14-0,Over,+5.0
05/22,Home,San Diego,10,8.5,7-6,Over,+4.5
