# Data scraped on: 2025-05-22 19:49:37
Trend,Over Record,Over %,Under %,Total +/-
4+ Days Off,1-0-0,100.0%,0.0%,+5.5
With Rest Disadvantage,3-0-0,100.0%,0.0%,+1.2
As Away Favorite,3-1-0,75.0%,25.0%,+1.4
As Home Underdog,8-4-0,66.7%,33.3%,+0.8
League Games,21-15-1,58.3%,41.7%,+0.6
As Home Team,16-12-0,57.1%,42.9%,+0.8
1 Day Off,5-4-0,55.6%,44.4%,+1.2
Division Games,10-8-1,55.6%,44.4%,+1.1
As Favorite,11-9-0,55.0%,45.0%,+0.9
After A Loss,12-11-1,52.2%,47.8%,-0.4
All Games,25-23-1,52.1%,47.9%,+0.3
Regular Season Games,25-23-1,52.1%,47.9%,+0.3
No Rest,19-18-1,51.4%,48.6%,+0.1
After A Win,12-12-0,50.0%,50.0%,+0.8
As Underdog,14-14-1,50.0%,50.0%,-0.1
As Home Favorite,8-8-0,50.0%,50.0%,+0.7
Non-Division Games,15-15-0,50.0%,50.0%,-0.2
With Equal Rest,22-22-1,50.0%,50.0%,+0.4
As Away Team,9-11-1,45.0%,55.0%,-0.3
As Away Underdog,6-10-1,37.5%,62.5%,-0.6
Non-League Games,4-8-0,33.3%,66.7%,-0.5
Second Game of Doubleheader,0-1-0,0.0%,100.0%,-2.5
With Rest Advantage,0-1-0,0.0%,100.0%,-4.0
