# Data scraped on: 2025-05-22 19:50:01
Trend,Run Line Record,Cover %,MOV,Run Line +/-
With Rest Advantage,1-0-0,100.0%,2.0,+0.5
With Rest Disadvantage,3-0-0,100.0%,0.3,+1.8
Non-League Games,10-2-0,83.3%,1.6,+2.3
As Away Underdog,12-5-0,70.6%,-0.2,+1.3
As Underdog,20-9-0,69.0%,-0.4,+1.1
No Rest,26-12-0,68.4%,0.7,+0.9
As Home Underdog,8-4-0,66.7%,-0.8,+0.8
Division Games,12-7-0,63.2%,-0.9,-0.7
After A Win,15-9-0,62.5%,0.5,+0.7
After A Loss,15-9-0,62.5%,-0.5,0.0
As Away Team,13-8-0,61.9%,-0.5,+0.4
All Games,30-19-0,61.2%,-0.2,+0.1
Regular Season Games,30-19-0,61.2%,-0.2,+0.1
As Home Team,17-11-0,60.7%,0.0,-0.2
Non-Division Games,18-12-0,60.0%,0.3,+0.6
With Equal Rest,26-19-0,57.8%,-0.3,-0.1
As Home Favorite,9-7-0,56.3%,0.6,-0.9
League Games,20-17-0,54.1%,-0.8,-0.7
As Favorite,10-10-0,50.0%,0.2,-1.4
1 Day Off,4-5-0,44.4%,-2.6,-2.1
As Away Favorite,1-3-0,25.0%,-1.8,-3.3
4+ Days Off,0-1-0,0.0%,-10.0,-11.5
Second Game of Doubleheader,0-1-0,0.0%,-4.0,-2.5
