# Data scraped on: 2025-05-22 19:49:41
Trend,Win-Loss Record,Win %,MOV,Run Line +/-
With Rest Advantage,1-0-0,100.0%,2.0,+0.5
Non-League Games,8-4-0,66.7%,1.6,+2.3
After A Win,14-10-0,58.3%,0.5,+0.7
As Home Underdog,7-5-0,58.3%,-0.8,+0.8
No Rest,22-16-0,57.9%,0.7,+0.9
As Home Team,16-12-0,57.1%,0.0,-0.2
As Home Favorite,9-7-0,56.3%,0.6,-0.9
Division Games,10-9-0,52.6%,-0.9,-0.7
As Underdog,15-14-0,51.7%,-0.4,+1.1
With Equal Rest,23-22-0,51.1%,-0.3,-0.1
All Games,25-24-0,51.0%,-0.2,+0.1
Regular Season Games,25-24-0,51.0%,-0.2,+0.1
As Favorite,10-10-0,50.0%,0.2,-1.4
Non-Division Games,15-15-0,50.0%,0.3,+0.6
As Away Underdog,8-9-0,47.1%,-0.2,+1.3
League Games,17-20-0,45.9%,-0.8,-0.7
After A Loss,11-13-0,45.8%,-0.5,0.0
As Away Team,9-12-0,42.9%,-0.5,+0.4
1 Day Off,3-6-0,33.3%,-2.6,-2.1
With Rest Disadvantage,1-2-0,33.3%,0.3,+1.8
As Away Favorite,1-3-0,25.0%,-1.8,-3.3
4+ Days Off,0-1-0,0.0%,-10.0,-11.5
Second Game of Doubleheader,0-1-0,0.0%,-4.0,-2.5
