# Data scraped on: 2025-05-22 19:50:15
Date,H/A/N,Opponent,Opp Rank,Total,Score,Result,Diff
03/27,Home,Philadelphia,6,7.0,3-7,Over,+3.0
03/29,Home,Philadelphia,6,9.0,6-11,Over,+8.0
03/30,Home,Philadelphia,6,9.0,5-1,Under,-3.0
03/31,Away,Toronto,21,8.5,2-5,Under,-1.5
04/01,Away,Toronto,21,8.5,3-5,Under,-0.5
04/02,Away,Toronto,21,8.5,2-4,Under,-2.5
04/04,Home,Arizona,8,8.5,4-6,Over,+1.5
04/05,Home,Arizona,8,9.0,4-3,Under,-2.0
04/06,Home,Arizona,8,7.5,5-4,Over,+1.5
04/07,Home,LA Dodgers,1,7.5,6-4,Over,+2.5
04/08,Home,LA Dodgers,1,8.5,8-2,Over,+1.5
04/09,Home,LA Dodgers,1,9.0,5-6,Over,+2.0
04/11,Away,Miami,28,8.0,7-4,Over,+3.0
04/12,Away,Miami,28,7.5,6-7,Over,+5.5
04/13,Away,Miami,28,8.0,4-11,Over,+7.0
04/14,Away,Pittsburgh,24,7.5,3-10,Over,+5.5
04/15,Away,Pittsburgh,24,8.5,3-0,Under,-5.5
04/16,Away,Pittsburgh,24,8.5,1-6,Under,-1.5
04/17,Away,Pittsburgh,24,8.0,0-1,Under,-7.0
04/19,Away,Colorado,30,9.5,12-11,Over,+13.5
04/20,Away,Colorado,30,10.5,3-2,Under,-5.5
04/20,Away,Colorado,30,11.0,1-3,Under,-7.0
04/22,Home,Baltimore,22,9.0,7-0,Under,-2.0
04/23,Home,Baltimore,22,9.5,4-3,Under,-2.5
04/24,Home,Baltimore,22,8.5,1-2,Under,-5.5
04/25,Home,NY Mets,3,9.0,5-4,Push,0.0
04/26,Home,NY Mets,3,9.5,0-2,Under,-7.5
04/27,Home,NY Mets,3,8.0,8-7,Over,+7.0
04/28,Home,NY Mets,3,9.5,5-19,Over,+14.5
04/29,Away,Philadelphia,6,8.5,6-7,Over,+4.5
04/30,Away,Philadelphia,6,8.0,2-7,Over,+1.0
05/01,Away,Philadelphia,6,10.0,4-2,Under,-4.0
05/02,Away,Cincinnati,16,9.0,1-6,Under,-2.0
05/03,Away,Cincinnati,16,9.0,11-6,Over,+8.0
05/04,Away,Cincinnati,16,8.5,4-1,Under,-3.5
05/06,Home,Cleveland,23,9.0,10-9,Over,+10.0
05/06,Home,Cleveland,23,9.5,1-9,Over,+0.5
05/07,Home,Cleveland,23,9.0,6-8,Over,+5.0
05/09,Home,St. Louis,19,8.5,0-10,Over,+1.5
05/10,Home,St. Louis,19,9.0,2-4,Under,-3.0
05/11,Home,St. Louis,19,9.0,1-6,Under,-2.0
05/12,Away,Atlanta,4,8.5,3-4,Under,-1.5
05/13,Away,Atlanta,4,8.5,2-5,Under,-1.5
05/14,Away,Atlanta,4,9.0,5-4,Push,0.0
05/15,Away,Atlanta,4,8.5,2-5,Under,-1.5
05/16,Away,Baltimore,22,9.0,4-3,Under,-2.0
05/17,Away,Baltimore,22,11.0,10-6,Over,+5.0
05/18,Away,Baltimore,22,9.5,10-4,Over,+4.5
05/20,Home,Atlanta,4,8.5,5-3,Under,-0.5
