# Data scraped on: 2025-05-22 19:50:06
Trend,Over Record,Over %,Under %,Total +/-
4+ Days Off,1-0-0,100.0%,0.0%,+3.0
With Rest Advantage,1-0-0,100.0%,0.0%,+1.5
With Rest Disadvantage,2-0-1,100.0%,0.0%,+6.0
1 Day Off,6-2-0,75.0%,25.0%,+4.4
As Home Underdog,12-7-1,63.2%,36.8%,+1.8
As Home Team,13-9-1,59.1%,40.9%,+1.3
Division Games,9-7-2,56.3%,43.8%,+1.9
League Games,18-17-2,51.4%,48.6%,+0.9
As Underdog,19-19-2,50.0%,50.0%,+1.0
As Away Favorite,3-3-0,50.0%,50.0%,+1.4
Second Game of Doubleheader,1-1-0,50.0%,50.0%,-3.3
All Games,23-24-2,48.9%,51.1%,+0.8
Regular Season Games,23-24-2,48.9%,51.1%,+0.8
After A Loss,12-13-2,48.0%,52.0%,+1.1
After A Win,10-11-0,47.6%,52.4%,+0.4
With Equal Rest,20-24-1,45.5%,54.5%,+0.5
Non-Division Games,14-17-0,45.2%,54.8%,+0.2
As Favorite,4-5-0,44.4%,55.6%,+0.3
No Rest,15-21-2,41.7%,58.3%,+0.3
Non-League Games,5-7-0,41.7%,58.3%,+0.7
As Away Team,10-15-1,40.0%,60.0%,+0.4
As Away Underdog,7-12-1,36.8%,63.2%,+0.1
As Home Favorite,1-2-0,33.3%,66.7%,-2.0
