# Data scraped on: 2025-05-22 19:50:30
Trend,Run Line Record,Cover %,MOV,Run Line +/-
With Rest Disadvantage,2-1-0,66.7%,0.3,+0.8
As Underdog,24-16-0,60.0%,-0.6,+0.9
As Home Underdog,12-8-0,60.0%,-0.7,+0.9
As Away Underdog,12-8-0,60.0%,-0.6,+0.9
Division Games,10-8-0,55.6%,-1.8,-0.6
No Rest,21-17-0,55.3%,-0.8,+0.3
After A Win,11-10-0,52.4%,-0.9,+0.2
As Home Team,12-11-0,52.2%,-1.3,-0.2
After A Loss,14-13-0,51.9%,-0.9,-0.1
League Games,19-18-0,51.4%,-1.3,-0.4
With Equal Rest,23-22-0,51.1%,-1.0,-0.1
All Games,25-24-0,51.0%,-1.0,0.0
Regular Season Games,25-24-0,51.0%,-1.0,0.0
As Away Team,13-13-0,50.0%,-0.7,+0.1
1 Day Off,4-4-0,50.0%,-0.4,0.0
Non-League Games,6-6-0,50.0%,0.2,+1.2
Non-Division Games,15-16-0,48.4%,-0.5,+0.3
As Away Favorite,1-5-0,16.7%,-1.0,-2.5
As Favorite,1-8-0,11.1%,-2.4,-3.9
As Home Favorite,0-3-0,0.0%,-5.3,-6.8
4+ Days Off,0-1-0,0.0%,-4.0,-2.5
Second Game of Doubleheader,0-2-0,0.0%,-5.0,-5.0
With Rest Advantage,0-1-0,0.0%,-2.0,-0.5
